Rank,Title,Author,Volume Sales,Publisher,Genre
1,"Da Vinci Code,The","Brown, Dan","5,094,805",Transworld,"Crime, Thriller & Adventure"
2,Harry Potter and the Deathly Hallows,"Rowling, J.K.","4,475,152",Bloomsbury,Children's Fiction
3,Harry Potter and the Philosopher's Stone,"Rowling, J.K.","4,200,654",Bloomsbury,Children's Fiction
4,Harry Potter and the Order of the Phoenix,"Rowling, J.K.","4,179,479",Bloomsbury,Children's Fiction
5,Fifty Shades of Grey,"James, E. L.","3,758,936",Random House,Romance & Sagas
6,Harry Potter and the Goblet of Fire,"Rowling, J.K.","3,583,215",Bloomsbury,Children's Fiction
7,Harry Potter and the Chamber of Secrets,"Rowling, J.K.","3,484,047",Bloomsbury,Children's Fiction
8,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.","3,377,906",Bloomsbury,Children's Fiction
9,Angels and Demons,"Brown, Dan","3,193,946",Transworld,"Crime, Thriller & Adventure"
10,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J.K.","2,950,264",Bloomsbury,Children's Fiction
11,Fifty Shades Darker,"James, E. L.","2,479,784",Random House,Romance & Sagas
12,Twilight,"Meyer, Stephenie","2,315,405","Little, Brown Book",Young Adult Fiction
13,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg","2,233,570",Quercus,"Crime, Thriller & Adventure"
14,Fifty Shades Freed,"James, E. L.","2,193,928",Random House,Romance & Sagas
15,"Lost Symbol,The","Brown, Dan","2,183,031",Transworld,"Crime, Thriller & Adventure"
16,New Moon,"Meyer, Stephenie","2,152,737","Little, Brown Book",Young Adult Fiction
17,Deception Point,"Brown, Dan","2,062,145",Transworld,"Crime, Thriller & Adventure"
18,Eclipse,"Meyer, Stephenie","2,052,876","Little, Brown Book",Young Adult Fiction
19,"Lovely Bones,The","Sebold, Alice","2,005,598",Pan Macmillan,General & Literary Fiction
20,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark","1,979,552",Random House,General & Literary Fiction
21,Digital Fortress,"Brown, Dan","1,928,900",Transworld,"Crime, Thriller & Adventure"
22,"Short History of Nearly Everything,A","Bryson, Bill","1,852,919",Transworld,Popular Science
23,"Girl Who Played with Fire,The:Millennium Trilogy","Larsson, Stieg","1,814,784",Quercus,"Crime, Thriller & Adventure"
24,Breaking Dawn,"Meyer, Stephenie","1,787,118","Little, Brown Book",Young Adult Fiction
25,"Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Carle, Eric","1,783,535",Penguin,Picture Books
26,"Gruffalo,The","Donaldson, Julia","1,781,269",Pan Macmillan,Picture Books
27,Jamie's 30-Minute Meals,"Oliver, Jamie","1,743,266",Penguin,Food & Drink: General
28,"Kite Runner,The","Hosseini, Khaled","1,629,119",Bloomsbury,General & Literary Fiction
29,One Day,"Nicholls, David","1,616,068",Hodder & Stoughton,General & Literary Fiction
30,"Thousand Splendid Suns,A","Hosseini, Khaled","1,583,992",Bloomsbury,General & Literary Fiction
31,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg","1,555,135",Quercus,"Crime, Thriller & Adventure"
32,"Time Traveler's Wife,The","Niffenegger, Audrey","1,546,886",Random House,General & Literary Fiction
33,Atonement,"McEwan, Ian","1,539,428",Random House,General & Literary Fiction
34,Bridget Jones's Diary:A Novel,"Fielding, Helen","1,508,205",Pan Macmillan,General & Literary Fiction
35,"World According to Clarkson,The","Clarkson, Jeremy","1,489,403",Penguin,Humour: Collections & General
36,Captain Corelli's Mandolin,"Bernieres, Louis de","1,352,318",Random House,General & Literary Fiction
37,"Sound of Laughter,The","Kay, Peter","1,310,207",Random House,Autobiography: General
38,Life of Pi,"Martel, Yann","1,310,176",Canongate,General & Literary Fiction
39,Billy Connolly,"Stephenson, Pamela","1,231,957",HarperCollins,Biography: The Arts
40,"Child Called It,A","Pelzer, Dave","1,217,712",Orion,Autobiography: General
41,"Gruffalo's Child,The","Donaldson, Julia","1,208,711",Pan Macmillan,Picture Books
42,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank","1,204,058",HarperCollins,Autobiography: General
43,Birdsong,"Faulks, Sebastian","1,184,967",Random House,General & Literary Fiction
44,Northern Lights:His Dark Materials S.,"Pullman, Philip","1,181,503",Scholastic Ltd.,Young Adult Fiction
45,Labyrinth,"Mosse, Kate","1,181,093",Orion,General & Literary Fiction
46,Harry Potter and the Half-blood Prince,"Rowling, J.K.","1,153,181",Bloomsbury,Science Fiction & Fantasy
47,"Help,The","Stockett, Kathryn","1,132,336",Penguin,General & Literary Fiction
48,Man and Boy,"Parsons, Tony","1,130,802",HarperCollins,General & Literary Fiction
49,Memoirs of a Geisha,"Golden, Arthur","1,126,337",Random House,General & Literary Fiction
50,"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander","1,115,549","Little, Brown Book","Crime, Thriller & Adventure"
51,"Island,The","Hislop, Victoria","1,108,328",Headline,General & Literary Fiction
52,"PS, I Love You","Ahern, Cecelia","1,107,379",HarperCollins,General & Literary Fiction
53,You are What You Eat:The Plan That Will Change Your Life,"McKeith, Gillian","1,104,403",Penguin,Fitness & Diet
54,"Shadow of the Wind,The","Zafon, Carlos Ruiz","1,092,349",Orion,General & Literary Fiction
55,"Tales of Beedle the Bard,The","Rowling, J.K.","1,090,847",Bloomsbury,Children's Fiction
56,"Broker,The","Grisham, John","1,087,262",Random House,"Crime, Thriller & Adventure"
57,"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.","1,054,196",Random House,Fitness & Diet
58,"Subtle Knife,The:His Dark Materials S.","Pullman, Philip","1,037,160",Scholastic Ltd.,Young Adult Fiction
